image_id,file_name,ours_f1,ours_mean_iou,ours_precision,ours_recall,ours_fp,ours_fn,yolo_f1,yolo_mean_iou,yolo_precision,yolo_recall,yolo_fp,yolo_fn
300665,300665.TIF,0.945,0.883,0.956,0.935,2,3,0.903,0.904,0.894,0.913,5,4
300666,300666.TIF,0.960,0.880,0.923,1.000,1,0,0.960,0.867,0.923,1.000,1,0
300667,300667.TIF,1.000,0.866,1.000,1.000,0,0,1.000,0.876,1.000,1.000,0,0
300668,300668.TIF,0.500,0.813,0.500,0.500,1,1,0.000,0.000,0.000,0.000,0,2
300682,300682.TIF,0.856,0.873,0.980,0.760,2,31,0.865,0.851,0.990,0.767,1,30
300683,300683.TIF,0.922,0.867,0.978,0.873,2,13,0.950,0.826,0.960,0.941,4,6
300684,300684.TIF,0.894,0.871,0.875,0.913,3,2,0.933,0.844,0.955,0.913,1,2
300685,300685.TIF,0.977,0.888,0.984,0.969,1,2,0.931,0.867,0.924,0.938,5,4
300686,300686.TIF,0.919,0.879,0.970,0.874,3,14,0.900,0.880,0.950,0.856,5,16
300687,300687.TIF,0.948,0.875,0.948,0.948,3,3,0.957,0.859,0.965,0.948,2,3
300688,300688.TIF,1.000,0.882,1.000,1.000,0,0,0.970,0.870,0.941,1.000,1,0
300689,300689.TIF,1.000,0.935,1.000,1.000,0,0,1.000,0.837,1.000,1.000,0,0
300690,300690.TIF,0.000,0.000,0.000,0.000,0,5,0.571,0.816,1.000,0.400,0,3
300691,300691.TIF,0.308,0.715,1.000,0.182,0,9,0.625,0.759,1.000,0.455,0,6
300692,300692.TIF,1.000,0.837,1.000,1.000,0,0,0.000,0.000,0.000,0.000,0,4
300693,300693.TIF,0.909,0.868,1.000,0.833,0,1,0.444,0.903,0.667,0.333,1,4
300694,300694.TIF,1.000,0.892,1.000,1.000,0,0,1.000,0.877,1.000,1.000,0,0
300704,300704.TIF,0.952,0.877,0.990,0.917,1,9,0.952,0.877,0.990,0.917,1,9
300705,300705.TIF,0.888,0.847,0.978,0.813,2,20,0.874,0.842,0.946,0.813,5,20
300706,300706.TIF,0.904,0.876,0.971,0.846,2,12,0.918,0.859,0.985,0.859,1,11
