============================================================
wait_then_launch_b0_r0 started at 2026-07-31 00:47:09
monitor_log=logs/ablations/wait_then_launch_b0_r0_20260731_004709.log
poll_seconds=60
plan: when no train_rsprompter process is alive, launch
  B0  -> CUDA_VISIBLE_DEVICES=0,1 (stride32)
  R0  -> CUDA_VISIBLE_DEVICES=2,3 (stride16)
============================================================
2026-07-31 03:59:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:00:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:01:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:02:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:03:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:04:21 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:05:21 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:06:21 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:07:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:08:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:09:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:10:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:11:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:12:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:13:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:14:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:15:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:16:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:17:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:18:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:19:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:20:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:21:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:22:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:23:22 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:24:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:25:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:26:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:27:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:28:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:29:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:30:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:31:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:32:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:33:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:34:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:35:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:36:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:37:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:38:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:39:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:40:23 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:41:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:42:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:43:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:44:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:45:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:46:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:47:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:48:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:49:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:50:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:51:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:52:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:53:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:54:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:55:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:56:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:57:24 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:58:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 04:59:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:00:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:01:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:02:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:03:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:04:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:05:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:06:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:07:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:08:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:09:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:10:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:11:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:12:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:13:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 05:14:25 - 15 train_rsprompter process(es) still running; sleeping 60s.
